Id,Gr Liv Area,Garage Area,Exter Qual_TA,Year Built,Exter Qual_Gd,Year Remod/Add,Full Bath,Kitchen Qual_TA,Total Bsmt SF,Foundation_PConc,1st Flr SF,Overall Qual_8,Bsmt Qual_TA,Fireplaces,Kitchen Qual_Gd,BsmtFin Type 1_GLQ,Garage Finish_Unf,TotRms AbvGrd,Garage Type_Attchd,Bsmt Qual_Gd,Bsmt Qual_Ex,Garage Type_Detchd,Mas Vnr Type_None,Garage Finish_Fin,Overall Qual_5,Overall Cond_5,Exterior 1st_VinylSd,Exterior 2nd_VinylSd,BsmtFin SF 1,Mas Vnr Area,Garage Cars,Heating QC_TA,Foundation_CBlock,Open Porch SF,Paved Drive_Y,Lot Shape_Reg,Neighborhood_NridgHt,MS Zoning_RM,Central Air_Y,Overall Qual_4,Garage Cond_TA,Overall Qual_9,Garage Qual_TA,Wood Deck SF,Garage Yr Blt,Overall Qual_7,Electrical_SBrkr,Neighborhood_NoRidge,Mas Vnr Type_BrkFace,Garage Finish_RFn,Half Bath,2nd Flr SF,Lot Area,Sale Type_New,Bsmt Exposure_Gd,Neighborhood_Somerst,Neighborhood_OldTown,House Style_2Story,MS Zoning_RL,Mas Vnr Type_Stone,Bsmt Exposure_No,Neighborhood_IDOTRR
2881,480,308.0,1,1949,0,1950,0,1,480.0,0,480,0,1,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,50.0,0.0,1.0,1,1,0,1,1,0,0,0,0,1,0,1,0,1958.0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,1
1820,970,624.0,1,1963,0,1963,1,1,970.0,0,970,0,1,0,0,1,1,5,0,0,0,1,1,0,1,0,0,0,630.0,0.0,2.0,1,1,24,1,1,0,0,1,0,1,0,1,0,1996.0,0,1,0,0,0,0,0,8480,0,0,0,0,0,1,0,1,0
592,1680,583.0,0,1998,1,1999,2,0,1650.0,1,1680,0,0,1,1,0,0,7,1,0,1,0,1,1,0,1,1,1,144.0,0.0,2.0,0,0,73,1,1,0,0,1,0,1,0,1,78,1998.0,1,1,0,0,0,0,0,10140,0,0,0,0,0,1,0,1,0
2662,1440,352.0,1,1900,0,1950,1,1,540.0,0,889,0,1,0,0,0,1,6,1,0,0,0,1,0,1,0,0,0,0.0,0.0,1.0,0,0,0,1,1,0,1,0,0,1,0,0,0,1940.0,0,0,0,0,0,0,551,5000,0,0,0,1,0,0,0,1,0
1139,1162,483.0,0,2007,1,2007,2,0,1162.0,1,1162,0,0,0,1,0,0,6,1,1,0,0,1,1,0,1,1,1,0.0,0.0,2.0,0,0,32,1,1,0,0,1,0,1,0,1,0,2007.0,1,1,0,0,0,0,0,9260,0,0,0,0,0,1,0,0,0
324,1430,624.0,1,2004,0,2005,2,0,1430.0,1,1430,0,0,0,1,0,0,7,1,0,1,0,1,0,1,1,1,1,0.0,0.0,2.0,0,0,0,1,1,0,0,1,0,1,0,1,0,2004.0,0,1,0,0,1,0,0,10114,0,0,0,0,0,1,0,0,0
2008,1167,495.0,1,1920,0,1950,1,1,915.0,0,1167,0,1,1,0,0,1,6,0,0,0,1,1,0,1,1,0,0,645.0,0.0,2.0,1,0,0,1,0,0,0,1,0,1,0,1,0,1972.0,0,1,0,0,0,0,0,8731,0,0,0,0,0,1,0,1,0
168,1395,440.0,1,1963,0,1984,1,1,1395.0,0,1395,0,1,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,717.0,218.0,2.0,1,1,0,1,1,0,0,1,0,1,0,1,657,1963.0,0,1,0,1,1,0,0,9760,0,1,0,0,0,1,0,0,0
364,1983,490.0,0,1999,1,1999,2,0,978.0,1,1005,0,0,1,1,1,0,9,1,1,0,0,1,1,0,1,1,1,694.0,344.0,2.0,0,0,0,1,0,0,0,1,0,1,0,1,0,1999.0,1,1,0,0,0,1,978,10762,0,0,0,0,1,1,0,1,0
1192,2614,624.0,1,1974,0,1997,2,1,1522.0,0,1548,0,1,1,0,0,0,9,1,0,0,0,1,0,0,0,0,0,956.0,0.0,2.0,1,1,243,1,1,0,0,1,0,1,0,1,38,1974.0,0,1,0,0,1,1,1066,10800,0,0,0,0,1,1,0,1,0
